State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Palos Verdes Estates,"14,379",149,149,               -,1,5,3,52,81,7,           -,,,,,,,
,Paradise,"26,379",981,990,               -,4,10,95,211,627,34,9,,,,,,,
,Paramount,"52,964","2,592","2,618",8,13,181,290,447,"1,067",586,26,,,,,,,
,Parlier,"10,681",555,565,               -,             -,28,83,105,263,76,10,,,,,,,
,Pasadena,"138,672","5,637","5,696",4,28,311,389,"1,026","3,388",491,59,,,,,,,
,Paso Robles,"22,466",877,880,1,1,10,46,154,617,48,3,,,,,,,
,Patterson,"10,878",331,332,               -,2,6,24,51,216,32,1,,,,,,,
,Perris,"34,669","1,952","1,958",5,10,99,277,514,638,409,6,,,,,,,
,Petaluma,"53,956","1,426","1,441",1,8,16,58,182,"1,089",72,15,,,,,,,
,Pico Rivera,"62,846","1,563","1,587",11,21,96,277,241,620,297,24,,,,,,,
,Piedmont,"11,231",175,176,               -,             -,2,1,51,100,21,1,,,,,,,
,Pinole,"19,763","1,349","1,362",3,7,62,81,220,738,238,13,,,,,,,
,Pittsburg,"55,029","2,279","2,283",4,20,87,145,330,"1,345",348,4,,,,,,,
,Placentia,"49,057",925,933,1,1,27,102,179,508,107,8,,,,,,,
,Placerville,"10,291",362,367,               -,7,5,59,81,176,34,5,,,,,,,
,Pleasant Hill,"34,436","1,446","1,456",               -,11,37,92,250,942,114,10,,,,,,,
,Pleasanton,"67,939","1,509","1,514",1,8,27,47,180,"1,147",99,5,,,,,,,
,Pomona,"140,646","5,862","5,907",23,33,343,976,892,"2,464","1,131",45,,,,,,,
,Porterville,"37,218","1,761","1,763",               -,7,35,132,412,976,199,2,,,,,,,
,Port Hueneme,"21,542",566,568,1,6,31,27,200,253,48,2,,,,,,,
,Poway,"51,173",844,852,1,9,13,78,201,462,80,8,,,,,,,
,Rancho Cucamonga,"126,436","3,509","3,534",6,14,115,122,813,"1,982",457,25,,,,,,,
,Rancho Mirage,"12,017",433,433,               -,1,3,22,113,261,33,           -,,,,,,,
,Rancho Palos Verdes,"44,305",488,490,4,2,11,58,143,227,43,2,,,,,,,
,Red Bluff,"13,699",723,728,2,5,8,123,124,432,29,5,,,,,,,
,Redding,"81,490","3,040","3,061",2,83,53,242,570,"1,810",280,21,,,,,,,
,Redlands,"69,824","2,290","2,301",1,16,64,263,402,"1,256",288,11,,,,,,,
,Redondo Beach,"66,224","2,071","2,072",1,12,79,114,419,"1,211",235,1,,,,,,,
,Redwood City,"75,994","2,093","2,110",1,19,50,127,234,"1,516",146,17,,,,,,,
,Reedley,"19,800",953,962,               -,5,20,127,122,594,85,9,,,,,,,
,Rialto,"87,309","3,466","3,508",7,29,196,422,625,"1,413",774,42,,,,,,,
,Richmond4,"96,163",,,29,37,400,734,"1,248","3,496",,93,,,,,,,
,Ridgecrest,"30,971",612,628,               -,9,6,106,136,317,38,16,,,,,,,
,Ripon,"10,258",246,247,               -,             -,1,19,56,149,21,1,,,,,,,
,Riverbank,"15,506",619,629,1,3,10,42,116,409,38,10,,,,,,,
,Riverside,"271,545","12,228","12,480",17,86,611,"1,292","2,122","6,250","1,850",252,,,,,,,
,Rocklin,"34,955",712,713,               -,4,7,22,159,456,64,1,,,,,,,
,Rohnert Park,"41,983","1,431","1,449",2,18,22,32,521,745,91,18,,,,,,,
,Rosemead,"55,005","1,604","1,611",3,14,110,247,352,568,310,7,,,,,,,
,Roseville,"78,737","3,082","3,093",1,10,46,177,513,"1,991",344,11,,,,,,,
,Sacramento,"415,818","27,338","27,705",39,147,"1,412","1,519","4,661","14,690","4,870",367,,,,,,,
,Salinas,"126,316","6,457","6,520",18,62,448,734,808,"3,760",627,63,,,,,,,
,San Anselmo,"11,593",207,207,               -,1,2,14,48,133,9,           -,,,,,,,
,San Bernardino,"193,065","11,870","12,004",32,99,663,"1,310","2,201","5,599","1,966",134,,,,,,,
,San Bruno,"41,207",984,987,               -,7,29,45,66,694,143,3,,,,,,,
,San Carlos,"28,465",533,533,               -,2,10,31,67,370,53,           -,,,,,,,
,San Clemente,"48,573",825,828,               -,8,20,74,177,487,59,3,,,,,,,
,San Diego,"1,266,132","46,359","46,563",54,349,"1,777","4,980","6,717","23,015","9,467",204,,,,,,,
,San Dimas,"35,903",742,745,               -,5,29,101,158,377,72,3,,,,,,,
,San Fernando,"23,514",820,828,1,4,60,54,102,395,204,8,,,,,,,
,San Francisco,"763,146","42,174","42,481",59,229,"3,456","2,755","5,695","24,417","5,563",307,,,,,,,
,San Gabriel,"38,602",937,945,               -,5,67,108,176,446,135,8,,,,,,,
,Sanger,"18,654",814,820,1,4,30,159,121,428,71,6,,,,,,,
,San Jacinto,"25,548",536,536,1,8,13,66,230,102,116,           -,,,,,,,
,San Jose,"888,632","22,808","23,196",19,337,677,"3,895","2,670","12,595","2,615",388,,,,,,,
,San Juan Capistrano,"32,449",567,568,1,2,11,40,89,371,53,1,,,,,,,
,San Leandro,"76,730","3,948","3,965",5,13,162,320,565,"2,231",652,17,,,,,,,
,San Luis Obispo,"43,831","2,082","2,171",               -,17,25,92,342,"1,480",126,89,,,,,,,
,San Marcos,"52,890","1,446","1,456",               -,13,43,150,365,664,211,10,,,,,,,
,San Marino,"13,376",108,109,               -,             -,3,1,35,62,7,1,,,,,,,
,San Mateo,"93,811","2,494","2,513",               -,17,82,244,265,"1,658",228,19,,,,,,,
,San Pablo,"27,554","2,241","2,262",3,9,133,321,565,727,483,21,,,,,,,
,San Rafael,"52,165","1,835","1,847",               -,19,52,181,283,"1,080",220,12,,,,,,,
,San Ramon,"46,933",998,"1,011",1,12,21,53,159,696,56,13,,,,,,,
,Santa Ana,"316,070","10,452","10,708",17,86,889,837,"1,247","5,324","2,052",256,,,,,,,
,Santa Barbara,"88,181","2,991","3,006",3,37,58,358,497,"1,929",109,15,,,,,,,
,Santa Clara,"102,241","3,121","3,175",               -,6,33,253,514,"2,035",280,54,,,,,,,
,Santa Clarita,"136,822","2,681","2,741",               -,25,83,227,595,"1,501",250,60,,,,,,,
,Santa Cruz,"54,684","2,964","2,974",3,48,72,421,400,"1,823",197,10,,,,,,,
,Santa Fe Springs,"15,970","1,401","1,401",4,2,83,67,232,720,293,           -,,,,,,,
,Santa Maria,"70,512","2,496","2,515",3,23,57,227,409,"1,609",168,19,,,,,,,
,Santa Monica,"93,081","4,688","4,746",2,31,266,343,603,"2,962",481,58,,,,,,,
,Santa Paula,"27,441",744,752,3,2,37,63,279,307,53,8,,,,,,,
,Santa Rosa,"139,899","5,289","5,340",2,71,129,344,823,"3,505",415,51,,,,,,,
,Santee,"59,184","1,314","1,319",1,9,33,125,243,712,191,5,,,,,,,
,Saratoga,"30,452",340,340,1,5,4,32,83,198,17,           -,,,,,,,
,Scotts Valley,"10,651",371,371,               -,2,4,38,67,252,8,           -,,,,,,,
,Seal Beach,"26,904",442,444,1,1,9,33,105,243,50,2,,,,,,,
,Seaside,"29,027",905,914,1,17,65,172,129,466,55,9,,,,,,,
,Selma,"18,053","1,149","1,157",1,5,32,126,133,689,163,8,,,,,,,
,Shafter,"11,761",490,529,               -,2,2,47,118,281,40,39,,,,,,,
,Sierra Madre,"11,324",116,116,               -,             -,3,2,37,70,4,           -,,,,,,,
,Simi Valley,"116,751","1,683","1,704",1,13,45,75,389,"1,036",124,21,,,,,,,
,Solana Beach,"14,116",254,254,               -,             -,9,15,75,122,33,           -,,,,,,,
,Soledad,"22,949",192,193,               -,             -,5,30,54,89,14,1,,,,,,,
,South El Monte,"21,929",642,651,2,5,48,113,109,215,150,9,,,,,,,
,South Gate,"90,906","3,155","3,180",6,20,317,444,646,745,977,25,,,,,,,
,South Lake Tahoe,"24,119",,,1,13,15,,172,575,113,5,,,,,,,
,South Pasadena,"24,724",599,600,               -,3,25,13,123,333,102,1,,,,,,,
,South San Francisco,"60,354","1,715","1,728",1,8,56,87,202,"1,120",241,13,,,,,,,
,Stanton,"33,905","1,020","1,029",1,5,64,77,179,513,181,9,,,,,,,
,Stockton,"250,391","16,849","16,991",30,114,"1,049","1,779","2,500","9,259","2,118",142,,,,,,,
,Suisun City,"27,768",585,605,2,6,26,33,111,317,90,20,,,,,,,
,Sunnyvale,"130,115","2,638","2,663",1,17,43,130,308,"1,952",187,25,,,,,,,
,Susanville,"17,047",291,293,               -,6,7,33,45,192,8,2,,,,,,,
,Temecula,"47,962","1,914","1,925",               -,11,27,168,495,"1,029",184,11,,,,,,,
,Temple City,"33,032",554,557,               -,3,31,61,142,256,61,3,,,,,,,
,Thousand Oaks,"121,805","1,940","1,964",3,23,37,120,326,"1,286",145,24,,,,,,,
,Torrance,"142,046","4,346","4,376",2,14,175,274,686,"2,519",676,30,,,,,,,
,Tracy,"53,100","1,954","1,966",               -,8,41,73,294,"1,368",170,12,,,,,,,
,Tulare,"42,856","2,425","2,483",2,12,68,299,858,885,301,58,,,,,,,
,Turlock,"53,578","3,145","3,200",1,17,53,226,616,"1,795",437,55,,,,,,,
,Tustin,"65,609","2,129","2,131",1,14,49,164,291,"1,379",231,2,,,,,,,
,Twentynine Palms,"14,596",480,492,               -,5,3,56,159,232,25,12,,,,,,,
,Twin Cities,"20,356",503,503,               -,1,8,2,145,308,39,           -,,,,,,,
,Ukiah,"15,146",609,618,3,4,8,52,163,351,28,9,,,,,,,
,Union City,"67,459","2,368","2,396",2,10,74,256,383,"1,337",306,28,,,,,,,
,Upland,"69,521","2,793","2,826",3,13,108,182,681,"1,514",292,33,,,,,,,
,Vacaville,"88,486","2,256","2,278",4,22,60,261,301,"1,396",212,22,,,,,,,
,Vallejo,"116,707","7,070","7,137",12,60,431,794,"1,141","3,629","1,003",67,,,,,,,
,Ventura,"102,347","3,349","3,373",3,18,92,230,646,"2,164",196,24,,,,,,,
,Victorville,"71,929","3,410","3,423",5,21,135,170,681,"1,858",540,13,,,,,,,
,Visalia,"93,773","5,016","5,040",5,51,102,619,880,"2,863",496,24,,,,,,,
,Vista,"83,898","2,661","2,672",6,34,104,208,537,"1,420",352,11,,,,,,,
,Walnut,"32,222",525,526,               -,6,19,44,126,269,61,1,,,,,,,
,Walnut Creek,"66,835","2,246","2,264",               -,7,30,92,337,"1,612",168,18,,,,,,,
,Watsonville,"37,589","1,891","1,893",1,19,59,224,305,"1,149",134,2,,,,,,,
,West Covina,"102,300","4,338","4,387",2,26,149,210,580,"2,582",789,49,,,,,,,
,West Hollywood,"37,090","1,972","1,977",3,20,155,186,299,"1,033",276,5,,,,,,,
,Westminster,"87,930","3,064","3,078",2,18,118,191,458,"1,785",492,14,,,,,,,
,West Sacramento,"30,936","1,672","1,689",1,25,66,309,370,618,283,17,,,,,,,
,Whittier,"81,790","2,390","2,401",1,10,78,159,356,"1,489",297,11,,,,,,,
,Windsor,"20,346",504,514,               -,7,11,47,72,346,21,10,,,,,,,
,Woodland,"45,098","1,308","1,338",3,14,33,209,266,630,153,30,,,,,,,
,Yorba Linda,"63,347",950,956,1,1,8,126,141,594,79,6,,,,,,,
,Yuba City,"36,090","2,044","2,056",1,13,44,124,324,"1,340",198,12,,,,,,,
,Yucaipa,"38,145",865,871,2,6,19,42,211,516,69,6,,,,,,,
,Yucca Valley,"17,970",575,582,1,3,9,62,128,306,66,7,,,,,,,
COLORADO,Arvada,"105,454","3,401","3,443",               -,24,31,60,459,"2,541",286,42,,,,,,,
,Aurora,"268,243","15,526","15,618",23,169,493,854,"1,860","9,648","2,479",92,,,,,,,
,Boulder,"96,752","3,571","3,633",               -,33,44,141,600,"2,584",169,62,,,,,,,
,Broomfield,"40,501","1,262","1,276",1,15,7,32,152,986,69,14,,,,,,,
,Canon City,"16,206",611,611,               -,6,3,16,69,500,17,           -,,,,,,,
,Castle Rock,"16,517",651,661,1,4,2,6,119,502,17,10,,,,,,,
,Colorado Springs,"371,363","18,684","18,828",15,251,455,995,"3,095","12,640","1,233",144,,,,,,,
,Commerce City,"18,850","1,807","1,814",2,5,26,94,227,"1,171",282,7,,,,,,,
,Denver,"529,978","26,302","26,658",32,296,"1,039","1,518","4,983","12,842","5,592",356,,,,,,,
,Durango,"14,591",985,990,               -,12,5,50,114,785,19,5,,,,,,,
,Federal Heights,"12,628",926,927,2,1,15,23,93,654,138,1,,,,,,,
,Fort Collins,"120,287","4,876","4,900",               -,67,37,263,679,"3,619",211,24,,,,,,,
,Fort Morgan,"10,764",469,475,3,2,7,11,49,374,23,6,,,,,,,
,Fountain,"14,587",453,457,               -,5,4,42,58,318,26,4,,,,,,,
,Golden,"16,157",668,687,               -,2,              -,41,85,478,62,19,,,,,,,
,Grand Junction,"43,346","3,028","3,044",6,17,14,114,411,"2,364",102,16,,,,,,,
,Greeley,"77,176","4,162","4,183",1,43,39,187,620,"3,097",175,21,,,,,,,
,Greenwood Village,"15,276",889,895,1,1,15,33,116,676,47,6,,,,,,,
,Lafayette,"22,985",718,736,               -,7,5,109,113,459,25,18,,,,,,,
,Lakewood,"146,251","7,458","7,521",3,74,134,222,"1,096","5,162",767,63,,,,,,,
,Louisville,"19,154",355,355,               -,5,2,11,57,269,11,           -,,,,,,,
,Loveland,"51,309","1,746","1,755",               -,18,12,76,218,"1,362",60,9,,,,,,,
,Montrose,"13,049",745,750,               -,10,2,23,81,606,23,5,,,,,,,
,Northglenn,"33,134","1,661","1,669",               -,12,25,66,229,"1,107",222,8,,,,,,,
,Parker,"20,536",526,541,               -,             -,9,5,103,396,13,15,,,,,,,
,Pueblo,"110,128","5,194","5,208",6,83,116,777,806,"3,148",258,14,,,,,,,
,Sterling,"11,053",597,601,               -,6,7,28,91,452,13,4,,,,,,,
,Thornton,"82,278","4,472","4,492",2,34,46,335,536,"3,033",486,20,,,,,,,
,Wheat Ridge,"31,861","1,923","1,945",1,15,33,91,222,"1,369",192,22,,,,,,,
CONNECTICUT,Ansonia,"18,321",290,290,               -,4,12,31,40,161,42,           -,,,,,,,
,Avon,"14,894",183,183,               -,             -,3,4,25,145,6,           -,,,,,,,
,Berlin,"17,978",374,374,               -,             -,3,1,47,290,33,           -,,,,,,,
,Bethel,"18,592",166,169,               -,3,              -,1,38,118,6,3,,,,,,,
,Bloomfield,"19,636",678,678,1,7,17,34,84,460,75,           -,,,,,,,
,Branford,"27,997",792,798,               -,18,8,15,67,633,51,6,,,,,,,
,Bridgeport,"142,198","8,900",,19,85,589,"1,291","1,626","3,122","2,168",,,,,,,,
,Bristol,"61,371","1,731","1,733",1,9,41,186,314,986,194,2,,,,,,,
,Brookfield,"15,325",190,190,               -,             -,              -,5,38,135,12,           -,,,,,,,
,Cheshire,"27,592",372,373,               -,1,1,6,72,253,39,1,,,,,,,
,Clinton,"13,699",179,179,               -,2,1,9,16,144,7,           -,,,,,,,
,Coventry,"11,572",125,125,               -,             -,              -,14,28,77,6,           -,,,,,,,
,Cromwell,"13,236",300,301,               -,             -,3,                   -,28,250,19,1,,,,,,,
,Danbury,"69,486","2,083","2,088",3,10,46,74,254,"1,511",185,5,,,,,,,
,Darien,"18,755",296,297,               -,             -,8,1,52,179,56,1,,,,,,,
,Derby,"12,382",438,439,1,1,12,28,75,265,56,1,,,,,,,
,East Hampton,"11,572",126,126,               -,             -,              -,14,17,86,9,           -,,,,,,,
,East Hartford,"48,825","2,336","2,349",3,23,84,232,357,"1,246",391,13,,,,,,,
,East Haven Town,"27,949",720,722,1,3,15,39,115,467,80,2,,,,,,,
,East Windsor,"10,399",373,378,               -,6,9,4,58,267,29,5,,,,,,,
,Enfield,"44,696","1,000","1,011",1,1,14,46,117,729,92,11,,,,,,,
,Fairfield,"55,893","1,314","1,318",               -,1,20,2,202,937,152,4,,,,,,,
,Farmington,"22,101",752,752,               -,1,10,10,86,613,32,           -,,,,,,,
,Glastonbury,"30,218",468,475,               -,             -,2,2,59,391,14,7,,,,,,,
,Greenwich,"60,155",763,768,1,3,10,12,91,564,82,5,,,,,,,
,Groton Town,"31,611",653,658,               -,34,22,22,107,448,20,5,,,,,,,
,Guilford,"21,136",385,386,4,2,4,15,61,290,9,1,,,,,,,
,Hamden,"55,175","1,889","1,889",               -,8,41,34,171,"1,386",249,           -,,,,,,,
,Hartford,"133,199","11,220","11,359",17,53,862,558,"1,630","6,001","2,099",139,,,,,,,
,Madison Town,"16,955",224,226,               -,             -,              -,1,48,167,8,2,,,,,,,
,Manchester,"54,532","2,638","2,661",               -,19,57,100,380,"1,876",206,23,,,,,,,
,Meriden,"58,487","2,164","2,164",2,4,47,41,279,"1,661",130,           -,,,,,,,
,Middletown,"45,657","1,485","1,485",1,5,25,17,234,"1,040",163,           -,,,,,,,
,Milford,"51,898","1,914","1,924",               -,10,17,23,234,"1,457",173,10,,,,,,,
,Monroe,"19,536",128,130,               -,             -,              -,2,27,82,17,2,,,,,,,
,Naugatuck,"31,285",680,686,               -,6,6,39,81,494,54,6,,,,,,,
,New Britain,"72,645","3,973","3,977",1,17,169,177,864,"2,343",402,4,,,,,,,
,New Canaan,"18,816",141,141,               -,1,              -,3,24,110,3,           -,,,,,,,
,New Haven,"126,794","9,726",,18,58,658,962,"1,484","5,236","1,310",,,,,,,,
,Newington,"29,518",660,666,               -,             -,9,                   -,71,539,41,6,,,,,,,
,New London,"26,878","1,242","1,259",1,18,49,145,218,690,121,17,,,,,,,
,New Milford,"26,691",347,351,               -,5,4,14,84,221,19,4,,,,,,,
,Newtown,"25,078",240,240,               -,             -,3,6,66,153,12,           -,,,,,,,
,North Branford,"14,558",167,168,               -,             -,2,8,34,104,19,1,,,,,,,
,North Haven,"23,121",625,625,               -,             -,7,1,79,501,37,           -,,,,,,,
,Norwich,"36,164","1,225","1,231",               -,23,38,88,276,717,83,6,,,,,,,
,Old Saybrook,"10,138",301,301,               -,             -,1,19,30,241,10,           -,,,,,,,
,Plainfield,"16,316",371,378,               -,5,5,58,86,198,19,7,,,,,,,
,Plainville,"17,441",527,527,               -,             -,6,10,97,377,37,           -,,,,,,,
,Plymouth,"12,527",225,226,               -,1,              -,                   -,48,167,9,1,,,,,,,
,Ridgefield Town,"23,173",113,115,               -,             -,1,4,24,70,14,2,,,,,,,
,Rocky Hill,"17,431",419,420,               -,             -,5,13,39,342,20,1,,,,,,,
,Seymour,"15,160",279,280,               -,5,3,33,50,165,23,1,,,,,,,
,Shelton,"39,702",627,628,               -,1,6,27,91,436,66,1,,,,,,,
,Simsbury,"22,575",243,243,               -,1,              -,5,39,188,10,           -,,,,,,,
,Southington,"40,382",827,829,               -,4,4,11,140,627,41,2,,,,,,,
,South Windsor,"23,728",258,259,               -,4,1,17,58,155,23,1,,,,,,,
,Stamford,"114,973","3,065","3,076",1,9,122,155,297,"2,072",409,11,,,,,,,
,Stonington,"16,931",415,416,               -,4,5,5,48,344,9,1,,,,,,,
,Stratford,"50,855","1,581","1,601",               -,12,58,43,272,921,275,20,,,,,,,
,Suffield,"11,962",137,137,               -,             -,1,                   -,13,112,11,           -,,,,,,,
,Torrington,"35,885","1,036","1,037",               -,3,7,112,125,738,51,1,,,,,,,
,Trumbull,"34,979","1,086","1,094",               -,             -,16,12,99,882,77,8,,,,,,,
,Vernon,"30,404",892,896,               -,1,17,9,128,684,53,4,,,,,,,
,Wallingford,"42,647",815,821,1,2,12,6,72,662,60,6,,,,,,,
,Waterford,"18,501",722,727,               -,4,5,28,85,572,28,5,,,,,,,
,Watertown,"22,681",464,464,               -,1,3,1,49,391,19,           -,,,,,,,
,West Hartford,"61,035","2,083","2,090",1,1,65,26,352,"1,446",192,7,,,,,,,
,West Haven,"53,565","1,928","1,932",2,11,44,17,282,"1,269",303,4,,,,,,,
,Westport,"25,172",563,564,               -,1,4,16,105,380,57,1,,,,,,,
,Wethersfield,"26,119",609,612,               -,7,25,12,123,374,68,3,,,,,,,
,Willimantic,"16,146",853,853,               -,             -,19,48,186,557,43,           -,,,,,,,
,Wilton,"17,291",221,222,               -,1,1,10,44,160,5,1,,,,,,,
,Winchester,"11,448",166,167,               -,1,1,9,17,123,15,1,,,,,,,
,Windsor,"28,483",626,633,1,8,9,5,52,490,61,7,,,,,,,
,Wolcott,"16,023",307,308,               -,1,              -,1,53,236,16,1,,,,,,,
DELAWARE,Dover,"33,380",,,               -,,68,141,177,"1,751",160,31,,,,,,,
,Newark,"29,448",,,               -,,62,110,155,997,81,33,,,,,,,
,Wilmington,"74,343",,,13,,518,749,915,"3,428","1,116",24,,,,,,,
DISTRICT OF COLUMBIA,Washington,"572,059","41,607","41,713",239,251,"3,553","4,582","4,745","21,637","6,600",106,,,,,,,
FLORIDA,Altamonte Springs,"41,758","1,941","1,945",2,2,53,84,229,"1,324",247,4,,,,,,,
,Apopka,"23,351","1,984","1,994",2,6,52,218,577,"1,011",118,10,,,,,,,
,Atlantic Beach,"14,014",673,679,               -,6,18,41,121,437,50,6,,,,,,,
,Auburndale,"11,061",924,924,               -,6,23,51,196,600,48,           -,,,,,,,
,Aventura,"21,281","3,157","3,158",1,1,37,68,121,"2,744",185,1,,,,,,,
,Bartow,"16,773","1,522","1,525",               -,11,38,143,284,945,101,3,,,,,,,
,Belle Glade,"17,699","1,808","1,821",2,8,72,261,426,927,112,13,,,,,,,
,Boca Raton,"77,173","3,312","3,312",1,16,52,141,742,"2,097",263,           -,,,,,,,
,Boynton Beach,"58,178","4,991","5,005",1,7,149,344,693,"3,264",533,14,,,,,,,
,Bradenton,"49,858","3,398","3,400",4,15,159,283,691,"1,930",316,2,,,,,,,
,Cape Coral,"98,909","3,630","3,695",               -,16,32,165,736,"2,460",221,65,,,,,,,
,Casselberry,"26,400","1,158","1,160",               -,11,40,76,160,787,84,2,,,,,,,
,Clearwater,"105,697","5,794","5,819",6,52,175,632,"1,111","3,427",391,25,,,,,,,
,Clermont,"10,664",490,492,               -,4,14,49,136,255,32,2,,,,,,,
,Cocoa,"19,232","1,591","1,599",1,18,68,246,308,840,110,8,,,,,,,
,Cocoa Beach,"13,694","1,069","1,070",2,7,29,93,134,767,37,1,,,,,,,
,Coconut Creek,"41,430","1,103","1,105",               -,10,15,66,254,624,134,2,,,,,,,
,Cooper City,"30,482",567,567,1,2,8,37,104,367,48,           -,,,,,,,
,Coral Gables,"44,892","2,944","2,948",               -,1,58,174,500,"1,997",214,4,,,,,,,
,Coral Springs,"122,831","3,985","3,991",3,22,76,205,633,"2,695",351,6,,,,,,,
,Crestview,"13,826",686,689,1,9,18,65,97,477,19,3,,,,,,,
,Dania,"21,636","1,702","1,704",               -,21,54,184,226,943,274,2,,,,,,,
,Davie,"73,601","3,641","3,655",1,4,53,230,562,"2,359",432,14,,,,,,,
,Daytona Beach,"68,436","6,776","6,806",10,84,366,670,"1,597","3,181",868,30,,,,,,,
,Deerfield Beach,"54,202","2,161","2,162",5,24,62,207,355,"1,257",251,1,,,,,,,
,Deland,"19,423","1,748","1,748",               -,10,58,217,308,"1,083",72,           -,,,,,,,
,Delray Beach,"57,237","4,866","4,880",3,15,130,445,746,"3,055",472,14,,,,,,,
,Dunedin,"37,737","1,269","1,274",1,10,16,60,268,868,46,5,,,,,,,
,Edgewater,"19,338",543,548,               -,             -,3,46,142,322,30,5,,,,,,,
,Eustis,"16,657",449,455,               -,5,14,67,72,254,37,6,,,,,,,
,Fort Lauderdale,"162,900","12,782","12,841",13,66,760,923,"2,259","7,363","1,398",59,,,,,,,
,Fort Myers,"48,920","6,050","6,069",3,39,444,641,"1,064","2,688","1,171",19,,,,,,,
,Fort Pierce,"39,213","4,129","4,158",16,35,214,532,885,"2,099",348,29,,,,,,,
,Fort Walton Beach,"22,130",857,859,               -,6,30,52,136,589,44,2,,,,,,,
